Product,Entity,Operation,Campaign Id,Ad Group Id,Portfolio Id,Ad Id (Read only),Keyword Id (Read only),Product Targeting Id (Read only),Campaign Name,Ad Group Name,Campaign Name (Informational only),Ad Group Name (Informational only),Portfolio Name (Informational only),Start Date,End Date,Targeting Type,State,Campaign State (Informational only),Ad Group State (Informational only),Daily Budget,SKU,ASIN (Informational only),Eligibility Status (Informational only),Reason for ineligibility (Informational only),Ad Group Default Bid,Ad Group Default Bid (Informational only),Bid,Keyword Text,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression,Resolved Product Targeting Expression (Informational only),Impressions,Clicks,Click-through Rate,Spend,Sales,Orders,Units,Conversion Rate,Acos,CPC,ROAS
Sponsored Products,Campaign,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | Advertised ASIN - advertised asin | Advertised ASIN | B09BB4Y111 - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Biddin g Adjustment,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Biddin g Adjustment,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,Advertised ASIN,,,,,,Advertised ASIN,,Advertised ASIN,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,Advertised ASIN,,,,,,,,Advertised ASIN,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,Advertised ASIN,,,,,,,,Advertised ASIN,,,,,enabled,enabled,enabled,,,,,,,,1.11,,Advertised ASIN,,,,"asin=""B09BB4Y111""",,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  variation   -  variation  | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | variation  - variation  - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  variation   -  variation  | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  variation   -  variation  | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  variation   -  variation  | B09BB4Y111 - SP,variation,,,,,,variation,,variation,,,,,enabled,enabled,enabled,,,,,,0.89,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  variation   -  variation  | B09BB4Y111 - SP,variation,,,,,,,,variation,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - jojoba oil clear - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear | B09BB4Y111 - SP,seed,,,,,,seed,,seed,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,,,,,,,1.11,jojoba oil clear,exact,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - colorless jojoba oil | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - colorless jojoba oil - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - colorless jojoba oil | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - colorless jojoba oil | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  SEED  - colorless jojoba oil | B09BB4Y111 - SP,seed,,,,,,seed,,seed,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  SEED  - colorless jojoba oil | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil  |  SEED  - colorless jojoba oil | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,,,,,,,1.11,colorless jojoba oil,exact,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic cold pressed | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - clear jojoba oil organic cold pressed - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic cold pressed | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic cold pressed | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic cold pressed | B09BB4Y111 - SP,seed,,,,,,seed,,seed,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic cold pressed | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic cold pressed | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,,,,,,,1.11,clear jojoba oil organic cold pressed,exact,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - clear jojoba oil organic - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic | B09BB4Y111 - SP,seed,,,,,,seed,,seed,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil organic | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,,,,,,,1.11,clear jojoba oil organic,exact,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - clear jojoba oil - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil | B09BB4Y111 - SP,seed,,,,,,seed,,seed,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil  |  SEED  - clear jojoba oil | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,,,,,,,1.11,clear jojoba oil,exact,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - organic clear jojoba oil | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - organic clear jojoba oil - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - organic clear jojoba oil | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - organic clear jojoba oil | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  SEED  - organic clear jojoba oil | B09BB4Y111 - SP,seed,,,,,,seed,,seed,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  SEED  - organic clear jojoba oil | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil  |  SEED  - organic clear jojoba oil | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,,,,,,,1.11,organic clear jojoba oil,exact,,,,,,,,,,,,,,,,
